age,sex,educ,race,income,married
59,1,9,1,0.0,1
31,0,1,3,17000.0,0
36,1,11,1,0.0,1
54,1,11,1,9100.0,1
39,0,5,3,37000.0,0
34,0,9,1,0.0,1
93,1,8,1,6000.0,1
69,0,13,1,350000.0,1
40,1,11,3,33000.0,1
27,1,11,1,25000.0,0
59,1,13,1,49000.0,1
31,1,11,3,0.0,1
73,1,13,4,35500.0,0
89,1,9,1,4000.0,1
39,1,10,3,15000.0,0
51,1,13,4,120000.0,1
32,0,9,1,13000.0,0
52,0,11,2,45000.0,0
24,0,7,1,0.0,0
48,1,10,1,4300.0,1
51,0,1,3,16000.0,1
43,1,14,1,365000.0,1
29,0,4,3,20000.0,0
44,1,15,1,17900.0,1
87,1,8,1,3600.0,0
27,1,11,3,10800.0,0
58,0,13,1,60900.0,1
32,1,11,3,25000.0,1
74,1,7,3,6520.0,0
28,1,13,4,21000.0,0
70,0,15,1,319000.0,1
35,0,9,1,30000.0,0
36,1,11,3,600.0,1
63,1,9,3,35800.0,1
21,1,9,3,18000.0,0
29,0,1,3,21200.0,1
44,0,13,1,50000.0,1
35,1,11,3,0.0,1
43,0,13,3,69800.0,1
59,1,10,4,30000.0,1
53,0,5,3,17300.0,1
42,0,10,1,38000.0,1
32,0,11,1,19000.0,1
50,0,16,1,52650.0,1
18,0,4,3,0.0,0
40,1,13,1,40000.0,1
42,1,11,1,7000.0,0
52,0,11,1,325000.0,1
56,1,14,1,52000.0,1
45,1,11,1,0.0,1
39,0,8,1,18000.0,0
28,0,10,1,49000.0,1
46,1,13,1,47000.0,1
45,0,11,3,50000.0,1
32,1,9,4,12000.0,1
22,1,9,1,5000.0,1
52,1,15,1,43000.0,1
21,0,3,3,12000.0,1
60,1,13,1,4000.0,1
77,1,11,1,2500.0,1
38,0,1,3,1800.0,0
40,1,11,3,15700.0,1
34,1,11,2,13700.0,0
48,1,12,1,76000.0,1
69,1,9,1,5010.0,1
46,0,11,1,85300.0,1
40,0,13,1,149000.0,0
26,1,9,3,12000.0,1
37,1,14,1,65000.0,0
30,0,5,3,13000.0,1
70,1,15,4,1800.0,1
42,1,4,3,0.0,0
24,1,3,3,12500.0,1
31,0,9,3,28000.0,1
20,0,8,3,8400.0,0
33,1,11,1,18500.0,0
47,0,7,1,155100.0,1
19,1,10,1,0.0,0
33,1,5,1,4600.0,0
66,1,13,4,4600.0,1
23,0,11,1,66000.0,0
51,1,9,1,9600.0,0
23,0,13,1,23500.0,0
47,1,13,1,63000.0,1
48,1,8,3,13000.0,1
43,1,11,1,8000.0,1
31,0,10,3,10400.0,0
47,1,3,3,10200.0,1
74,0,11,1,24400.0,0
93,1,1,2,6000.0,0
55,1,11,1,12800.0,0
29,1,9,3,24000.0,0
33,0,11,3,119000.0,1
50,0,2,3,18000.0,1
28,0,11,2,8100.0,1
29,1,13,1,38000.0,0
38,1,10,1,35000.0,1
42,0,9,3,50900.0,1
50,1,10,1,22640.0,0
77,0,4,3,12400.0,1
37,1,3,3,0.0,1
40,0,11,1,40000.0,0
30,0,6,3,40000.0,1
19,1,11,1,7000.0,0
50,1,9,3,60000.0,0
82,1,9,3,690.0,0
22,1,9,3,21000.0,0
63,0,12,1,94100.0,1
48,1,12,1,6800.0,0
46,0,15,1,52000.0,1
45,1,9,3,0.0,0
37,1,10,3,10800.0,0
76,0,13,4,680.0,0
25,0,9,1,0.0,0
40,1,10,3,33000.0,1
34,0,9,3,22500.0,1
56,1,13,4,2000.0,1
43,1,11,3,25000.0,1
42,0,14,1,115370.0,1
22,1,11,1,0.0,1
45,1,11,1,38580.0,0
32,1,3,3,16000.0,1
23,0,11,3,5600.0,1
19,0,10,2,14000.0,0
52,1,9,1,109000.0,0
44,1,13,4,27000.0,1
43,0,13,4,51800.0,0
34,1,13,4,0.0,1
32,1,13,1,28030.0,0
38,0,10,1,11200.0,0
40,1,10,1,62700.0,1
82,0,14,1,20000.0,1
31,1,9,2,23000.0,0
42,1,9,1,3000.0,1
47,0,1,2,220.0,0
66,0,16,1,120000.0,1
30,0,9,4,30000.0,0
42,1,10,3,28000.0,0
50,1,11,1,48700.0,1
26,1,10,1,11000.0,1
53,0,9,3,6000.0,0
22,0,8,4,7000.0,1
28,1,2,3,0.0,1
25,0,6,3,22000.0,1
30,1,11,3,20000.0,1
86,1,9,1,12020.0,1
33,0,12,3,33000.0,0
62,1,11,2,4900.0,0
23,1,12,3,0.0,0
36,0,12,1,60000.0,1
84,1,9,1,5600.0,1
29,0,6,1,28000.0,0
29,0,11,1,91000.0,1
18,1,8,2,0.0,0
44,1,13,3,27000.0,1
61,0,9,1,15800.0,1
72,1,13,1,21600.0,1
59,0,13,1,30000.0,1
33,0,13,4,92000.0,1
51,0,13,1,181000.0,1
35,1,15,1,80000.0,1
47,1,13,1,75800.0,0
50,0,16,4,90000.0,1
30,1,11,1,0.0,0
31,1,8,2,0.0,1
30,0,13,4,62300.0,1
77,1,10,1,0.0,1
59,0,1,1,30000.0,1
22,1,13,1,4800.0,0
66,1,12,1,17000.0,0
49,1,11,3,36000.0,0
44,1,13,1,25000.0,1
18,0,7,1,4000.0,0
35,0,12,3,27000.0,0
38,1,3,3,6200.0,1
55,1,9,1,25800.0,0
32,0,11,2,33500.0,0
29,0,9,1,40000.0,1
36,1,9,2,0.0,0
21,0,11,1,16000.0,0
43,1,13,3,1330.0,1
81,0,9,4,21600.0,1
45,1,12,1,32000.0,1
37,1,8,3,24000.0,0
41,1,9,1,31000.0,1
46,0,9,1,0.0,0
29,1,14,4,37100.0,1
40,1,9,1,5800.0,1
24,1,5,3,3500.0,0
63,1,12,1,86000.0,1
61,0,1,3,14400.0,1
43,1,12,1,22600.0,1
86,1,13,1,37100.0,0
38,0,14,4,72000.0,1
75,0,3,2,8000.0,0
32,0,13,1,110300.0,0
63,1,10,1,13100.0,0
27,0,11,3,26000.0,0
64,0,13,1,125200.0,1
71,1,4,1,11900.0,1
54,1,11,1,2460.0,1
57,1,14,1,47500.0,1
56,1,12,1,13900.0,1
31,0,15,2,40220.0,0
53,0,12,1,40000.0,1
29,1,9,1,0.0,1
18,0,7,4,5400.0,0
27,1,3,3,3000.0,1
67,1,1,3,9800.0,0
75,0,13,1,44600.0,1
27,0,8,1,40000.0,0
37,0,13,3,56150.0,1
77,1,10,1,14200.0,0
38,1,13,1,15000.0,0
51,1,12,1,30000.0,1
23,1,11,3,10210.0,1
34,0,1,3,6000.0,1
39,1,14,3,52000.0,1
53,1,6,1,0.0,0
30,1,10,1,27000.0,1
39,1,8,3,29700.0,0
40,0,13,1,11000.0,0
43,0,14,1,56000.0,1
34,1,15,4,77000.0,0
72,0,6,1,13800.0,1
73,0,11,1,48300.0,1
77,1,9,1,11000.0,0
43,1,13,1,26180.0,1
31,1,5,3,5200.0,1
36,0,12,1,80000.0,0
61,0,12,1,69000.0,1
74,0,11,1,73700.0,1
38,1,13,1,40000.0,1
45,1,15,2,90000.0,1
32,1,12,4,26800.0,1
55,0,11,1,50000.0,1
51,1,12,1,0.0,1
47,1,13,1,0.0,1
42,1,9,4,0.0,1
30,0,16,1,61200.0,0
36,1,13,1,55000.0,0
42,1,13,1,3000.0,1
65,1,9,1,5200.0,1
51,0,13,1,56000.0,1
70,1,3,3,18900.0,1
57,1,11,1,62700.0,1
48,0,2,4,10000.0,1
69,1,13,1,4300.0,1
76,0,9,1,10100.0,1
46,0,9,1,9500.0,0
35,0,9,3,1400.0,1
72,0,9,1,180000.0,1
18,1,9,3,4000.0,0
40,1,13,1,0.0,1
33,1,13,1,72000.0,1
46,0,13,1,45000.0,1
51,1,12,1,14030.0,0
48,0,11,4,20040.0,1
30,0,9,1,9000.0,0
28,1,4,3,0.0,1
40,1,14,1,940.0,1
18,1,7,1,0.0,0
37,0,11,1,68000.0,1
41,0,11,1,41000.0,0
93,1,9,1,19200.0,1
52,1,12,1,23000.0,1
43,0,3,3,13000.0,0
35,1,11,1,8400.0,1
34,0,9,1,45000.0,1
66,0,11,3,12000.0,0
86,1,9,1,23800.0,0
42,1,12,2,0.0,0
73,1,11,2,16000.0,0
19,1,9,3,0.0,0
37,0,4,3,52000.0,1
85,0,11,1,119700.0,1
40,1,3,3,0.0,1
73,0,15,1,115000.0,1
78,1,13,4,29300.0,1
62,1,14,1,325000.0,1
48,0,9,3,41600.0,0
75,1,8,1,19000.0,0
71,1,9,1,39300.0,0
29,0,11,6,0.0,0
30,0,12,1,36420.0,1
74,1,5,4,0.0,0
53,1,10,2,0.0,1
19,1,7,3,2200.0,0
31,0,7,1,0.0,1
41,1,9,1,24620.0,1
49,1,6,3,0.0,0
38,0,12,3,40000.0,1
35,1,11,4,71000.0,1
45,0,10,1,49000.0,0
42,0,14,1,42500.0,1
28,0,9,1,0.0,0
32,1,1,4,9530.0,0
48,1,14,1,27900.0,0
27,1,14,1,24020.0,0
44,0,13,4,46300.0,1
75,1,9,1,18800.0,0
52,0,12,1,168000.0,1
39,1,12,1,39000.0,0
60,0,13,4,167000.0,1
34,1,13,3,73000.0,1
50,0,12,1,58200.0,0
47,1,1,3,7530.0,1
48,0,13,1,140500.0,1
68,0,13,1,31800.0,1
30,0,8,1,50000.0,1
67,0,13,1,57200.0,1
29,1,5,3,1800.0,1
40,1,11,5,56000.0,0
84,0,13,1,32100.0,1
67,0,4,2,13500.0,1
74,0,12,1,13000.0,0
72,1,2,3,8200.0,0
72,1,9,4,17100.0,1
82,1,13,1,8400.0,1
24,0,5,3,10000.0,0
54,1,10,1,35000.0,1
67,0,6,1,7000.0,1
18,0,11,4,2200.0,0
40,0,11,2,30000.0,1
70,1,9,1,4800.0,1
73,0,13,1,7200.0,1
41,1,14,1,15400.0,1
68,0,14,1,44000.0,1
82,0,15,1,138300.0,1
20,1,3,3,0.0,0
31,1,14,1,34000.0,0
27,0,9,3,44500.0,0
70,1,9,1,7000.0,1
49,0,15,1,54000.0,1
62,1,10,3,70000.0,1
53,0,9,1,16940.0,0
40,0,4,3,0.0,1
80,0,8,1,28900.0,1
36,0,11,4,0.0,0
29,0,2,3,28900.0,1
38,1,11,3,0.0,1
65,1,13,1,0.0,0
20,1,9,3,13000.0,0
40,1,8,3,10500.0,1
42,0,13,1,382000.0,1
36,1,5,3,20300.0,1
37,0,11,1,52000.0,1
25,1,9,2,0.0,0
74,1,9,1,7200.0,1
40,0,9,1,38000.0,0
48,1,4,4,13500.0,0
44,0,14,1,138100.0,0
40,1,10,3,15000.0,1
23,0,11,1,0.0,0
66,1,5,2,0.0,1
47,0,13,1,35300.0,0
58,0,10,1,80000.0,0
42,1,9,1,3500.0,1
26,0,9,1,24000.0,0
32,1,8,3,0.0,1
36,0,14,3,61900.0,1
22,1,11,1,10600.0,0
23,1,12,4,4000.0,1
46,1,12,1,8400.0,0
23,0,8,3,23500.0,0
71,0,15,1,42000.0,1
55,1,9,4,10000.0,1
34,1,3,3,0.0,1
49,0,13,1,12000.0,0
42,1,11,2,0.0,0
71,0,1,3,9100.0,1
28,1,13,3,28000.0,1
23,1,12,2,14400.0,0
18,1,9,3,0.0,0
48,0,10,1,60000.0,1
65,0,12,1,22800.0,0
44,1,1,3,18000.0,0
52,1,13,1,42800.0,0
65,0,6,1,22300.0,0
20,1,9,1,5900.0,0
27,1,13,1,5450.0,1
36,1,16,4,0.0,1
88,1,11,1,0.0,1
84,1,1,4,10500.0,0
41,0,13,1,36000.0,1
35,0,9,1,30000.0,1
30,1,11,1,38700.0,1
23,1,13,4,10700.0,1
23,0,6,3,6100.0,0
51,1,16,1,118000.0,0
27,1,13,1,41600.0,0
47,1,13,1,0.0,1
71,1,9,1,8000.0,1
78,1,1,3,9300.0,0
44,1,12,1,4930.0,1
50,1,9,4,1200.0,1
38,0,2,3,16000.0,1
25,0,11,1,0.0,0
43,0,13,4,25000.0,1
20,0,11,4,4200.0,0
66,1,9,1,3200.0,0
26,0,13,3,28000.0,0
62,0,13,1,70000.0,1
45,1,11,1,69200.0,0
38,1,8,2,1000.0,1
51,1,7,1,7200.0,0
21,0,13,1,5000.0,0
42,1,13,1,2500.0,0
20,0,10,4,35400.0,0
51,1,9,1,4200.0,0
22,1,11,3,19400.0,0
65,0,6,3,18500.0,0
38,0,9,1,100000.0,1
33,1,9,3,11000.0,1
27,1,12,3,38000.0,0
58,0,9,1,99000.0,1
73,0,1,3,7200.0,0
19,0,11,3,7000.0,0
24,1,13,4,100.0,0
30,1,11,1,20200.0,1
37,0,13,1,55000.0,1
51,0,1,3,56300.0,1
45,0,9,1,36000.0,0
81,1,14,1,6000.0,0
61,0,13,1,95300.0,1
30,1,12,4,10284.0,0
58,1,9,1,37000.0,0
58,0,12,2,46050.0,1
46,0,4,3,23100.0,0
47,1,2,3,19000.0,1
23,0,10,2,1500.0,0
36,0,8,3,0.0,1
82,0,9,1,20700.0,1
20,1,11,2,8600.0,0
22,1,9,3,0.0,0
67,0,14,1,90300.0,1
22,0,13,3,15600.0,0
79,0,6,3,54600.0,1
18,0,8,4,0.0,0
48,1,14,1,39000.0,0
32,0,9,3,20000.0,0
35,0,9,1,13000.0,0
49,1,11,1,30000.0,1
46,0,11,1,13500.0,1
28,0,11,3,10000.0,0
50,0,8,3,17900.0,1
28,1,9,2,8400.0,0
87,1,4,1,8000.0,1
49,0,8,1,30300.0,1
23,1,6,4,4000.0,0
40,1,3,3,20000.0,1
26,1,9,3,38600.0,0
48,1,9,2,0.0,0
82,1,3,2,9900.0,0
78,0,5,2,0.0,0
34,1,8,1,25000.0,1
36,1,13,4,67000.0,0
19,1,9,3,3000.0,0
31,1,3,3,0.0,1
34,0,9,1,14000.0,1
19,0,5,3,0.0,0
33,0,13,1,109000.0,0
93,1,2,3,10000.0,0
30,1,16,1,14600.0,0
42,1,6,2,0.0,1
31,0,3,3,16300.0,1
23,0,13,1,28000.0,1
62,1,12,1,51350.0,1
59,1,2,1,0.0,1
88,1,12,1,18500.0,1
37,0,12,1,25900.0,0
32,1,13,1,47800.0,0
42,0,9,1,17700.0,1
40,0,13,1,700.0,0
64,0,9,1,16000.0,1
31,1,14,1,35000.0,0
30,0,11,4,36500.0,1
69,0,10,1,23500.0,1
53,0,12,3,76800.0,1
51,1,9,1,52120.0,0
27,0,7,3,17000.0,0
29,1,12,4,38000.0,1
28,1,11,4,9000.0,1
42,1,12,3,13300.0,1
34,0,9,3,60100.0,1
37,0,14,1,95000.0,1
31,1,9,3,2000.0,1
36,0,9,1,64000.0,1
44,1,1,3,0.0,1
53,0,11,1,38000.0,0
23,1,9,1,9000.0,0
37,0,10,4,54300.0,1
29,1,8,3,5000.0,1
38,0,13,1,90580.0,1
57,1,5,1,5100.0,1
27,0,8,1,22000.0,0
86,1,9,1,8700.0,0
75,0,8,1,7400.0,0
37,1,12,4,13100.0,1
23,0,8,1,30000.0,0
63,0,13,2,50000.0,1
