age,sex,educ,race,income,married
26,1,11,1,0.0,1
51,0,13,1,325000.0,1
42,0,9,1,64000.0,1
43,1,13,1,0.0,1
51,0,14,1,103000.0,1
69,0,11,1,90300.0,1
52,0,10,1,60000.0,0
74,0,13,1,21100.0,1
22,0,12,1,31000.0,1
43,1,9,1,8610.0,0
56,0,11,2,44200.0,0
31,1,9,3,4600.0,0
38,0,9,3,7200.0,0
89,1,13,1,7000.0,0
62,1,12,1,10800.0,1
75,1,11,1,8200.0,1
34,1,12,1,10000.0,1
35,0,2,3,32000.0,1
35,0,13,1,60000.0,0
45,1,9,4,0.0,1
19,0,6,3,19000.0,1
32,0,8,1,40000.0,1
47,1,11,1,65000.0,0
72,1,9,1,3600.0,1
49,0,14,1,132000.0,0
48,0,11,4,49000.0,0
32,0,14,1,66200.0,0
28,0,11,3,13000.0,1
20,0,11,1,1600.0,0
57,0,16,1,123000.0,1
18,0,10,2,2400.0,0
35,0,12,3,27000.0,1
45,0,13,4,80000.0,1
72,0,8,1,14000.0,1
54,0,12,1,125700.0,1
39,1,10,3,80000.0,0
40,1,9,1,0.0,1
63,1,1,3,3030.0,0
19,1,10,1,2100.0,0
40,1,12,3,17100.0,0
59,1,12,1,13000.0,0
42,0,13,1,33400.0,1
42,0,9,2,0.0,1
38,1,16,1,60000.0,0
61,0,9,1,38000.0,1
55,1,11,3,12600.0,0
54,1,13,3,3200.0,0
80,0,14,1,41300.0,1
46,0,12,4,50000.0,1
79,1,13,1,31900.0,1
46,0,13,6,140000.0,1
28,1,9,1,12000.0,0
38,1,11,1,29900.0,0
34,1,13,1,31030.0,1
22,0,13,4,760.0,0
48,0,8,1,57000.0,0
42,0,3,3,19200.0,1
23,0,9,3,46000.0,0
29,1,11,2,30000.0,0
65,1,1,4,0.0,0
54,0,13,1,42500.0,1
34,0,9,2,12100.0,0
61,1,9,1,25000.0,1
70,1,6,1,0.0,0
82,0,9,1,10100.0,1
48,0,13,1,44000.0,1
66,1,9,1,13800.0,1
27,1,13,4,15200.0,1
42,0,9,1,14000.0,1
47,1,11,1,59000.0,1
70,0,13,1,51100.0,1
47,0,9,1,27500.0,1
47,0,9,1,45000.0,1
39,1,9,1,24000.0,1
33,1,9,3,2200.0,0
84,0,11,1,151800.0,1
39,0,9,1,80000.0,1
55,1,11,1,0.0,1
26,0,13,4,38800.0,1
65,0,7,2,40900.0,1
78,1,1,4,6400.0,0
57,1,9,1,30000.0,0
35,0,9,1,32000.0,1
28,0,13,3,40000.0,0
74,1,10,2,7900.0,0
54,1,11,1,4600.0,1
80,0,11,1,16900.0,1
32,1,3,3,0.0,1
21,1,7,3,1100.0,0
43,0,5,3,13400.0,1
24,0,14,3,40000.0,1
60,1,9,1,19000.0,0
22,0,7,3,22000.0,1
30,0,13,1,0.0,0
30,0,2,3,4000.0,1
35,1,13,1,460.0,1
23,0,9,1,14300.0,0
29,0,15,4,60400.0,1
66,1,1,3,5000.0,0
18,0,3,3,0.0,0
69,1,11,3,11900.0,1
40,1,11,2,18000.0,1
57,1,11,1,50020.0,1
51,0,11,1,6000.0,0
82,1,13,1,29100.0,1
57,0,9,1,35000.0,1
34,1,9,1,16600.0,1
20,0,7,1,25000.0,0
28,0,10,1,280.0,0
20,1,11,3,7200.0,0
23,1,9,3,13000.0,0
80,1,11,1,18500.0,0
34,0,11,3,45000.0,0
46,1,12,4,39300.0,1
50,1,13,1,50000.0,0
32,0,13,1,100000.0,1
56,0,15,1,93700.0,1
18,1,7,1,2000.0,0
48,1,12,1,35500.0,1
45,0,14,4,84900.0,1
60,0,8,3,71600.0,1
83,0,9,1,29400.0,0
41,0,11,2,72000.0,0
33,0,8,4,17400.0,1
33,0,5,3,5200.0,0
52,0,9,1,34440.0,1
42,0,3,3,22900.0,1
69,1,11,1,7000.0,1
25,1,13,4,0.0,0
68,0,9,1,343000.0,1
25,0,9,4,4500.0,0
55,1,7,1,0.0,1
41,0,5,3,7000.0,1
75,1,10,1,8320.0,0
39,0,8,2,29000.0,0
40,0,11,1,76000.0,1
39,0,11,4,48800.0,1
48,0,13,1,325000.0,1
81,0,11,1,12600.0,1
70,0,13,1,36100.0,0
82,1,9,3,9600.0,0
45,0,15,1,64000.0,1
83,1,13,3,9000.0,0
37,0,8,4,30200.0,0
31,1,11,1,12100.0,0
18,0,5,3,0.0,0
29,1,1,3,0.0,1
40,0,11,3,9000.0,1
43,0,13,1,325000.0,1
45,1,9,3,12000.0,1
45,0,13,6,85000.0,1
60,0,13,1,25000.0,0
76,1,11,2,10100.0,0
24,0,13,1,32000.0,0
38,1,12,2,92000.0,0
62,0,11,1,2000.0,1
35,1,9,2,24000.0,0
30,1,8,3,28250.0,0
23,1,6,3,9600.0,0
40,0,9,4,33000.0,0
52,1,3,4,7500.0,1
40,1,10,1,26000.0,1
46,1,13,4,11700.0,1
23,1,12,1,7000.0,1
29,0,11,1,50000.0,0
25,0,9,3,14000.0,0
56,0,14,1,325000.0,0
27,0,9,1,50000.0,0
41,1,13,1,328700.0,1
43,0,11,1,15000.0,0
27,0,14,4,81000.0,1
53,1,14,4,62600.0,1
53,1,13,1,6200.0,1
43,1,8,1,33000.0,1
38,0,9,1,100000.0,0
46,0,13,1,67500.0,0
23,0,11,2,12000.0,0
27,0,13,1,38000.0,0
60,0,11,2,39200.0,1
76,0,3,3,9600.0,1
51,0,12,1,0.0,0
54,1,15,1,106200.0,0
26,0,13,1,0.0,0
19,1,9,3,3400.0,0
40,0,13,2,38500.0,1
24,1,1,3,0.0,1
53,1,12,1,11100.0,0
19,1,11,1,11000.0,0
19,1,11,4,10000.0,0
55,0,16,1,63000.0,1
25,0,10,3,25000.0,0
53,0,9,1,69200.0,1
72,0,7,1,20900.0,1
66,1,14,2,54260.0,0
36,1,6,1,25000.0,0
35,1,10,1,21150.0,0
37,1,13,1,30400.0,0
34,1,13,1,30000.0,0
45,1,9,3,24000.0,0
73,1,13,1,26100.0,1
59,0,11,1,76000.0,1
21,1,11,3,21000.0,0
22,1,13,1,9800.0,0
38,1,13,2,31000.0,1
22,1,11,1,6300.0,0
21,1,12,1,9000.0,0
76,1,6,1,116070.0,0
46,1,3,3,3100.0,1
42,0,1,4,14000.0,1
82,0,13,1,29800.0,1
33,1,1,3,0.0,1
37,1,13,4,13000.0,0
32,0,8,1,0.0,0
44,1,7,1,11500.0,1
35,1,13,4,26700.0,1
83,0,11,1,10800.0,1
39,0,12,2,36000.0,1
77,0,4,2,7000.0,0
60,0,13,1,96000.0,0
53,0,14,1,159000.0,0
33,0,11,1,75000.0,1
50,0,13,4,77000.0,1
63,1,13,4,10000.0,0
74,0,11,2,62000.0,0
37,0,7,1,50000.0,1
31,1,5,1,6500.0,0
39,0,13,4,30000.0,0
40,0,9,2,26800.0,1
83,1,9,1,8800.0,1
45,1,11,1,18300.0,0
53,1,11,1,35200.0,1
22,1,13,1,30380.0,0
78,0,16,1,46100.0,1
34,0,9,4,18000.0,1
37,0,15,1,152000.0,0
43,0,11,1,93400.0,1
35,0,13,1,65000.0,1
85,0,14,1,19600.0,0
58,0,4,3,12700.0,1
31,0,15,1,33400.0,1
22,0,9,1,13700.0,0
65,0,9,1,21500.0,0
79,0,9,1,22700.0,1
26,1,10,1,23000.0,0
40,0,11,3,36000.0,1
47,0,10,1,43600.0,1
19,0,10,1,14000.0,0
47,1,1,3,0.0,1
35,1,9,3,0.0,0
22,0,11,1,2600.0,0
42,1,12,4,40020.0,1
28,0,13,1,61130.0,1
51,1,11,1,15000.0,0
40,1,3,4,17000.0,1
38,0,7,1,1000.0,1
52,0,11,3,0.0,0
24,1,9,3,4000.0,0
44,0,9,1,42000.0,1
23,1,9,3,0.0,0
47,0,10,1,110000.0,1
44,0,7,3,40800.0,1
51,1,13,1,1600.0,0
79,1,9,3,14700.0,1
23,0,11,1,29000.0,0
68,1,9,1,25200.0,0
34,1,9,1,35000.0,1
52,0,13,4,0.0,1
45,1,11,3,2000.0,1
39,1,13,1,42500.0,0
50,1,7,2,3600.0,1
52,1,9,4,84000.0,1
51,1,11,1,12800.0,0
28,1,13,1,60000.0,0
39,0,5,3,25000.0,1
46,0,8,1,0.0,0
25,0,12,1,20000.0,0
27,1,9,3,3000.0,1
70,0,10,3,16300.0,1
27,1,10,6,31000.0,1
41,1,9,2,10000.0,0
44,0,9,4,20000.0,0
29,1,8,2,325000.0,0
48,0,14,1,135000.0,1
19,0,9,1,6300.0,0
79,1,4,1,10800.0,0
33,0,11,1,5100.0,0
20,0,11,3,3600.0,0
42,1,12,1,7000.0,1
31,0,13,4,47000.0,0
46,1,14,3,14120.0,0
29,0,9,1,32000.0,1
57,0,12,1,58400.0,1
22,0,9,3,16000.0,0
53,0,2,3,18000.0,1
24,0,3,3,0.0,1
82,1,4,3,22800.0,0
37,1,13,1,420500.0,0
48,1,12,1,34000.0,1
54,0,3,3,230.0,1
49,0,11,1,5800.0,0
19,1,7,1,3000.0,0
50,1,14,4,103000.0,1
37,0,12,1,56020.0,1
75,0,9,3,22700.0,1
43,1,6,1,28900.0,0
41,0,12,4,17900.0,0
62,0,6,1,0.0,0
45,1,13,1,34200.0,0
71,1,15,1,37800.0,1
40,1,3,3,0.0,1
18,0,7,1,4000.0,0
60,0,7,3,28900.0,1
34,1,12,1,0.0,1
50,1,11,1,6000.0,1
52,1,14,1,26600.0,0
22,1,7,1,0.0,1
43,1,10,1,13700.0,1
42,1,11,1,5000.0,0
85,1,11,1,26500.0,0
35,1,9,3,8500.0,0
61,1,9,2,20000.0,0
30,1,11,1,21600.0,1
20,0,9,1,1300.0,0
48,1,9,3,19100.0,1
44,1,14,6,44000.0,0
36,1,8,3,0.0,1
41,1,12,3,38000.0,0
72,1,9,1,9500.0,1
42,0,9,1,19400.0,0
42,0,9,3,30000.0,1
82,1,9,1,13800.0,0
70,1,13,1,26200.0,1
24,0,7,3,5540.0,1
19,1,8,4,1100.0,0
50,1,9,1,13700.0,0
56,1,16,1,39000.0,1
36,0,13,1,120000.0,1
44,1,13,1,100000.0,1
42,1,13,1,45000.0,1
74,0,9,1,25200.0,1
64,0,14,1,80200.0,1
72,1,7,1,7200.0,1
39,0,14,3,82260.0,1
67,0,15,1,95000.0,1
28,0,13,1,57000.0,0
41,0,13,1,45000.0,1
32,1,11,1,24000.0,0
42,1,8,3,5000.0,1
47,0,9,3,62000.0,1
75,0,15,1,57370.0,1
27,0,9,3,12000.0,0
40,0,10,1,24000.0,0
49,0,13,1,80600.0,0
34,1,9,1,13000.0,1
39,1,1,3,0.0,1
62,1,12,1,14000.0,0
70,1,14,2,40100.0,0
36,0,9,3,30000.0,1
45,0,1,3,9000.0,0
43,0,3,3,0.0,1
24,0,11,4,7200.0,1
47,1,14,1,40200.0,0
57,0,16,1,251000.0,1
44,1,10,1,21500.0,1
23,0,5,3,18000.0,0
48,1,3,3,14000.0,0
26,0,10,3,13000.0,1
32,0,8,1,30000.0,1
21,1,9,1,0.0,1
54,0,13,1,56420.0,1
25,1,13,1,31000.0,0
47,1,13,3,34480.0,0
40,0,12,1,88000.0,1
45,1,11,3,5000.0,0
29,0,12,1,39000.0,0
69,0,12,1,8300.0,0
67,0,11,1,2000.0,1
69,1,11,1,12500.0,0
65,1,4,4,35600.0,0
27,0,12,4,7000.0,0
26,1,9,3,25000.0,0
46,1,9,1,27000.0,1
43,0,13,1,23600.0,1
72,0,14,1,15900.0,1
41,1,12,1,0.0,1
45,0,13,1,72000.0,1
34,0,12,2,71050.0,1
48,1,13,1,332200.0,1
71,1,11,1,11800.0,1
48,1,3,3,325000.0,1
40,1,13,4,0.0,1
23,0,9,1,20000.0,0
21,0,10,1,1900.0,0
36,1,10,1,35000.0,0
20,0,11,1,22900.0,0
20,1,9,3,8700.0,0
39,1,13,1,0.0,1
53,0,13,1,120000.0,0
20,0,3,3,0.0,0
40,1,9,1,62000.0,0
19,1,11,1,5600.0,0
52,1,6,3,8900.0,0
46,0,9,1,23000.0,0
48,0,10,2,12000.0,0
39,0,11,1,80080.0,0
29,1,11,2,1000.0,0
22,0,3,3,11000.0,1
39,1,11,4,58500.0,0
25,0,8,3,0.0,0
51,0,15,1,100000.0,1
38,0,12,1,140000.0,1
34,1,13,4,60000.0,1
24,0,10,1,43120.0,1
28,0,9,4,20000.0,0
21,1,5,3,3600.0,1
38,1,3,3,18000.0,0
49,1,11,3,14500.0,0
22,0,11,1,12000.0,0
45,0,14,1,91100.0,1
64,0,13,1,52800.0,1
51,0,7,1,19000.0,0
40,1,10,1,0.0,0
18,0,9,3,0.0,0
43,0,13,1,23000.0,1
49,1,9,1,3200.0,0
31,1,8,1,10000.0,1
42,0,8,3,21000.0,1
56,1,9,1,0.0,1
73,0,1,1,3000.0,1
29,0,5,3,17200.0,1
18,1,7,3,1200.0,0
19,1,9,4,0.0,1
22,0,8,3,4000.0,0
30,1,14,2,33000.0,0
53,0,10,1,50000.0,0
67,0,8,3,251000.0,1
69,1,9,1,11600.0,1
19,1,9,3,24500.0,1
47,1,1,1,0.0,0
18,1,9,1,1600.0,0
57,0,13,2,90000.0,1
47,1,11,1,0.0,1
27,0,11,3,15000.0,0
21,0,9,3,16500.0,0
93,1,12,1,88200.0,0
43,1,2,1,8800.0,0
47,1,13,3,66000.0,1
29,0,11,1,38300.0,0
47,0,9,3,23100.0,0
27,0,1,3,14800.0,1
42,1,13,4,60000.0,1
41,0,3,3,28000.0,1
22,1,11,3,12700.0,0
55,0,14,1,75000.0,1
18,0,7,1,500.0,0
40,0,9,1,14000.0,1
64,1,11,1,0.0,1
64,1,9,1,0.0,1
88,1,3,4,6000.0,0
24,1,9,2,10200.0,0
57,0,8,4,23000.0,1
76,1,10,1,0.0,1
43,1,9,3,38030.0,0
64,1,9,3,1700.0,1
21,1,11,3,18000.0,0
22,0,9,2,0.0,0
40,0,13,4,70000.0,1
30,1,5,1,39000.0,1
29,1,10,1,13000.0,0
43,0,11,3,15500.0,0
50,0,14,4,100000.0,1
63,0,11,1,1700.0,1
55,1,13,1,62000.0,1
25,0,13,3,26000.0,0
70,1,14,1,7770.0,0
33,0,11,1,275000.0,0
39,0,13,2,100050.0,1
30,1,11,1,36810.0,0
23,0,9,3,6500.0,1
65,0,9,1,26750.0,1
37,1,9,1,8100.0,0
37,0,14,1,61250.0,1
76,1,13,1,6050.0,1
57,1,10,1,15000.0,0
49,1,13,1,57130.0,1
84,1,8,1,10000.0,0
32,0,3,3,0.0,1
71,0,9,1,26550.0,1
58,0,13,1,92200.0,1
56,1,9,1,32000.0,1
51,0,13,2,48000.0,1
51,0,15,1,5400.0,1
53,1,13,1,200.0,1
20,0,8,2,2000.0,0
73,0,3,3,24200.0,0
38,1,2,3,0.0,0
50,0,13,1,22000.0,1
44,1,14,4,500.0,1
29,1,11,1,66400.0,0
